〆切	termination、conclusion、ending、deadline
ー	long vowel mark (usually only used in katakana)
（株）	share; stump; stock; strain; stub; Co.、Ltd.; Inc.
１０月	October
１１月	November
１２月	December
１つ	piece、bit
１月	January
２月	February
３月	March
３分	Three minutes
４月	April
５月	May
６つ	six、sixer、captain hicks、half a dozen、sise、vi、sestet、hexad、sextet、6
６月	June
６月９日	June 9th
７月	July
８月	August
９月	September
Ｇパン	jeans; dungarees
ＭＦ文庫Ｊ	MF Bunko J
ＮＰＯ法人	incorporated nonprofit organization
Ｔシャツ	T-shirt; tee shirt
Ｗ杯	World Cup (e.g. soccer)
あい	yes
あいかわらず	as usual
あいさつ	Greetings
あいつ	that thing
あいまい	dubious、doubtful、obscure、vague、obscure、dark、equivocal、vague、undefined、vague
あう	run into、meet、run across、come across、see、encounter、meet、get together、meet、converge
あえる	dress
あおい	fan
あかつき	AKATSUKI
あがっ	get stage fright
あけ	bore in
あさっての方向	Asatte no Hoko
あたっ	face、confront、meet、take on、play、encounter、run into、jar against、knock against、bump into
あたり	neighbourhood、locality、vicinity、neighborhood、neck of the woods
あちこち	all over、everyplace、everywhere、here and there
あっ	exist、be、stand、be、live、lie、dwell、lie in、consist、be
あて	address to
あと	later、after、subsequently、later on、afterward、afterwards、after
あなた	my beloved
あの日	that day
あふれる	overflow、scintillate with
あまちゃん	Amachan
あまり	overly、too、to a fault、excessively、overmuch、too much
ありがたい	favourable、favorable、thankful、grateful、grateful、blessed、welcome
ありのまま	ingenuously、artlessly
ありません	don't have；do not have
あり方	state
ある意味	in a sense
あれ	crotch、privates、genital organ、private parts、genitals、genitalia、menstruation、menstruum、period、menses
あれこれ	this or [and] that、one thing or another
あわせ	subject to
い	exist、be、be、live、abide、bide、stay、be
い	strengthens a question、assertion、etc.
いい	think of、have in mind、mean、utter、express、give tongue to、verbalize、verbalise、speak、talk
いいね	Calm!、Like、it's all gravy；i'm straight
いいね！	Calm!、Like、it's all gravy；i'm straight
いえいえ	No、no
いか	fare with
いか	kite、calamary、calamari、squid
いかす	to be smart; to be cool; to be sharp; to be stylish
いきさつ	circumstance
いくら	ikra; salmon roe
いじめ	hazing
いずれ	either
いちゃもん	quibble; false charge
いっぱい	much、often、a great deal
いつ	when
いつか	sometime、in one case、one time、once、someday
いつの日か	someday
いつまでも	always、on、everlastingly、forever、eternally、evermore、indefinitely
いない	be not in [here、there、etc.]
いびつ	distorted、ill-shapen、deformed、malformed、misshapen
いやがっ	begrudge doing
いらっしゃい	go、move、come、exist、be、be、live、be、be、lie
いれる	brew ( up)
いろいろ	assorted、various、divers、diverse、versatile、various
いわば	as it were、so to speak、so to speak、as we say
うかがえ	reflect
うけ	appeal to
うさんくさ	funny、suspicious、fishy、suspect、shady
うじ	maggot
うそ	prevarication、lie、falsity、falseness
うたう	sing、sing
うどん	noodles; udon; Japanese wheat noodle
うなっ	growl at
うま	trestle
うまい	good、proficient、skilful、good、expert、adept、skillful、practiced
うらやましい	enviable、envious、covetous、jealous
うるさい	vexing、teasing、galling、pestering、pestiferous、irritating、plaguy、plaguey、pesky、annoying
うれしい	happy、glad、delighted
うんこ	shit、dump、turd、dirt、shit、shite、poop、crap
えぐっ	hollow out
おいしい	tasty
おおい	cover; cap
おおよそ	approximately、more or less、close to、some、just about、or so、about、roughly、around
おかげ	thanks
おかしい	curious、funny、queer、odd、rummy、rum、peculiar、singular、humourous、humorous
おき	Super Oki
おさまり	ensconce on
おしゃべり	babbling; chattering
おじさん	uncle; gentleman
おす	male
おすすめ	Recommended
おぞましい	horrible、frightful、ugly、atrocious、horrifying、awful、direful、horrendous、frightening、dreadful
おっしゃっ	utter、express、give tongue to、verbalize、verbalise、speak、talk、mouth、utter、verbalize
おなか	abdomen; belly
おにぎり	onigiri
おばあさん	old woman; grandmother
おばあちゃん	granny、grandma、grandmother、nanna、grannie、nan、gran、nan
おばさん	lady; aunt
おびき寄せる	bait with
おぼれ	indulge in
おまえ	dogg
おまけ	extra; discount
おむつ	diaper
おもしろい	funny、laughable、risible、comical、comic、amusing、mirthful、interesting、gratifying、enjoyable
おもねる	suck around
およそ	approximately、more or less、close to、some、just about、or so、about、roughly、around、whole
お越し	coming; going
お化け屋敷	Haunted attraction (simulated)
お家芸	specialty
お荷物	black sheep
お菓子	confection、sweet
お過ごし	getting along
お悔やみ	My condolence.、condolence
お勧め	recommendation; advice; suggestion; encouragement
お願い	Please!
お気に入り	favourite、favorite、darling、favourite、deary、favorite、dearie、ducky、pet
お客	customer
お客様	customer
お金	money
お迎え	receiving; welcoming; going to meet
お見合い結婚	Omiai Kekkon
お見舞い	inquiry
お互い	each other
お仕事	work
お子さん	child、kid、child、baby
お辞儀	bow、bow down、bow、curtsy、curtsey
お手上げ	surrender、resignation
お手数	trouble、difficulty
お手伝い	help、aid、assist
お手本	example; role model
お笑い	Comedy
お笑いコンビ	comic duo
お笑い芸人	comedian、comic
お節介	buttinsky; busybody
お前	you
お断り	rejection、refusal
お知らせ	information
お昼	tiffin、lunch、luncheon、dejeuner、twelve noon、noontide、noonday、noon、high noon、midday
お湯	hot water
お鍋	lesbian、gay woman、tribade
お披露目	debut
お払い箱	release、liberation、firing、sack、dismission、discharge、sacking、dismissal
お母さん	mother; mom
お約束	promise
お話	Story
お詫び	apology
か	Ku (kana)
かい	so、thusly、thus、so
かかっ	span
かかわっ	concern in
かき氷	snow cone; kakigori
かく乱	disturbance; derangement
かけ	place、put on、play、run、venture、adventure、jeopardize、hazard、stake
かけら	fleck、chip、scrap、bit、flake、spot、bit、particle、atom、corpuscle
かさむ	bulk
かざし	hold up to
かすり	brush against
かたち	shape
かっこ	geta; Japanese wooden clogs
かっこよく	off the hook、off the heezie
かな	Japanese syllabary; Japanese alphabet; kana
かなぐり捨て	cast away、throw out、fling、toss away、discard、throw away、put away、cast aside、toss out、dispose
かなっ	meet、fit、conform to、serve、serve well、beseem、befit、suit、accommodate、fit
かなり	appreciably、considerably、well、substantially、rather、kinda、kind of、sort of、rather、quite
かみ	blow
かみ合わ	engage、operate、mesh、lock
かも	victim of
かもめ	The Seagull、Kamome
からかっ	razz、tantalise、taunt、rally、bait、cod、tantalize、tease、twit、rag
から揚げ	deep-fried chicken; deep-fried
かわいそう	pitiful、pitiable、pathetic
かわし	ward off
か黒か	black
がけ崩れ	landslide
がち	serious; diligent; honest; earnest
がら	(on adj-stem to represent a third party's apparent emotion) to show signs of being; to feel; to think
がん	carcinoma; cancer
き	come、come、come、arrive、get、come
きい	bite into、Engineering Test Satellite-I
きっかけ	opportunity; occasion; chance
きょう	today
きり	drill; gimlet
きれい	clean、neat、beautiful、better-looking、good-looking、handsome、well-favoured、well-favored、fine-looking、lovely
きれいな	beautiful
きわどい	close to the bone
ぎこちなく	inept、awkward、cumbersome、ill-chosen、clumsy、inapt、awkward、laboured、labored、strained
くくり	Kukuru
くじ	raffle; lottery
ください	give
くっつい	adhere、hold fast、bond、stick、stick to、bind、attach to、come with、accompany、go with
くらし	living
くるん	wrap、bind up
くれ	give、give
けじめ	distinction
けん	kick in
けんか	row
けん引	traction; hauling
けん制	check
こ	Ko (kana)
ここ	here
こたえ	bite into
こだわっ	be particular about 《trifles》、stick to 《formality》
こっち	this side
こと	event、thing、thing、thing、matter、affair、thing、thing、circumstances、thing
ことば	word
こども	child
こなす	grind、bray、crunch、mash、comminute、powder、powderize、pulverise、powderise、pulverize
この間	meantime、in the meantime、meanwhile、late、latterly、lately、of late、recently
この世	this world; present world
こよなく	better、best、best、perfect、superb、brilliant
これ	This、dis
ころ	roller
こんにちは。	hello; good morning; good afternoon
ごっこ	something done together; game of make-believe
ごった返す	to be in confusion or commotion; to be in a turmoil; to be crowded or jammed with people
ご愁傷様	My condolences.
ご存知	acquaintance、friend
ご都合主義	opportunism、expedience、self-seeking、self-interest
ご当地	your place
ご飯	rice
ご覧	review、inspection
さ	Sa (kana)
さかのぼり	trace ( back)( to )
さき	urn; new moon
さし	refer to
さしはさみ	inject into
させ	have
さっき	some time ago; just now
さばき	desert
さまざま	assorted、various、divers、diverse、multiplex、manifold、varied、versatile、various
さら	countersunk head; Titanium; flush head; flat head; Saucer
さらけ出す	disclose、expose、exhibit、expose、display
さらさ	subject、expose to
さん	style; sash bar; rail; furring
し	pithy tissue
しか	(used with neg. verb) only; nothing but
しかた	way; method
しかる	chide for
しがみつい	hold close、hold tight、clutch、cling to
しこり	hard spot
したたか	severely、gravely、badly、seriously、much、much、a lot、very much、much、lots
しながら	while doing
しのぎを削る	to compete ruthlessly; to sharpen swords
しばっ	strap with
しびれ	numbness
しまい	house in
しゃべっ	jaw away at
しょうが	ginger
しよ	make、hold、give、give、perform、execute、do、do、perform、practice
しんなり	soft; supple; pliant
じゃなくて	not、not
すがる	bear on
すぎ	too for
すくみ	cringe at
すご	tip-top
すてき	splendid、glorious、resplendent、splendiferous、lovely、not bad、groovy、swell、nifty、slap-up
すね	shin; leg; shank
すばらしい	stunning、not bad、groovy、swell、nifty、slap-up、bang-up、neat、bully、keen
すべて	end-to-end、throughout、completely
すれ違い	passing each other; crossing paths without meeting; being at cross purposes
すれ違う	to pass by one another; to disagree; to miss each other
ずるい	knavish、tricky、slick、dodgy、guileful、sly、cunning、wily、crafty、tricksy
ずれ	divergence、disagreement、discrepancy、variance、gap、spread
せい	depth
せんとくん	Sento-kun
せんべい	rice cracker
そ	So (kana)
そう	really、real、very、rattling、so、thusly、thus、so
そうかな	I wonder.
そうかもしれない	you could say that
そぎ	break、damp、dampen、weaken、soften、subvert、sabotage、countermine、weaken、counteract
そぐわない	inappropriate、unseemly、uncomely、indecent、unbecoming、untoward、indecorous
そこ	there
そのもの	itself
その間	lag、meantime、interim、meanwhile
その後	thenceforth、thereafter
その他	etcetera
そば	buck wheat
そびえ立つ	rise to
そらし	avert from
そり	sledge; sled; bow
それ	there
それぞれ	for each one、from each one、apiece、each、to each one
それなり	pretty、jolly、fairly、reasonably、passably、somewhat、moderately、middling
そろえ	align、ordinate、coordinate
たかの友梨	Takano Yuri
たくさん	much、often、a great deal、plenty、enough、amply、fully、abundantly、extravagantly、copiously
たたか	round、snipe、assail、assault、attack、lash out、knock、strike hard、beat、beat up
ただ	just、only、merely、but、simply、alone、entirely、only、exclusively、solely
ただ今	just、just now、soon、presently、shortly、before long、presently、currently
たち	disposition to
たっぷり	really、real、very、rattling
たとえる	compare to
たどっ	track、trace to
たどり着い	come、arrive、get
たべ	Devour
